Date,MA200_slope
2023-01-03,
2023-01-04,
2023-01-05,
2023-01-06,
2023-01-09,
2023-01-10,
2023-01-11,
2023-01-12,
2023-01-13,
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-23,
2023-01-24,
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,
2023-02-10,
2023-02-13,
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-21,
2023-02-22,
2023-02-23,
2023-02-24,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,
2023-03-06,
2023-03-07,
2023-03-08,
2023-03-09,
2023-03-10,
2023-03-13,
2023-03-14,
2023-03-15,
2023-03-16,
2023-03-17,
2023-03-20,
2023-03-21,
2023-03-22,
2023-03-23,
2023-03-24,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-10,
2023-04-11,
2023-04-12,
2023-04-13,
2023-04-14,
2023-04-17,
2023-04-18,
2023-04-19,
2023-04-20,
2023-04-21,
2023-04-24,
2023-04-25,
2023-04-26,
2023-04-27,
2023-04-28,
2023-05-01,
2023-05-02,
2023-05-03,
2023-05-04,
2023-05-05,
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,
2023-05-15,
2023-05-16,
2023-05-17,
2023-05-18,
2023-05-19,
2023-05-22,
2023-05-23,
2023-05-24,
2023-05-25,
2023-05-26,
2023-05-30,
2023-05-31,
2023-06-01,
2023-06-02,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-12,
2023-06-13,
2023-06-14,
2023-06-15,
2023-06-16,
2023-06-20,
2023-06-21,
2023-06-22,
2023-06-23,
2023-06-26,
2023-06-27,
2023-06-28,
2023-06-29,
2023-06-30,
2023-07-03,
2023-07-05,
2023-07-06,
2023-07-07,
2023-07-10,
2023-07-11,
2023-07-12,
2023-07-13,
2023-07-14,
2023-07-17,
2023-07-18,
2023-07-19,
2023-07-20,
2023-07-21,
2023-07-24,
2023-07-25,
2023-07-26,
2023-07-27,
2023-07-28,
2023-07-31,
2023-08-01,
2023-08-02,
2023-08-03,
2023-08-04,
2023-08-07,
2023-08-08,
2023-08-09,
2023-08-10,
2023-08-11,
2023-08-14,
2023-08-15,
2023-08-16,
2023-08-17,
2023-08-18,
2023-08-21,
2023-08-22,
2023-08-23,
2023-08-24,
2023-08-25,
2023-08-28,
2023-08-29,
2023-08-30,
2023-08-31,
2023-09-01,
2023-09-05,
2023-09-06,
2023-09-07,
2023-09-08,
2023-09-11,
2023-09-12,
2023-09-13,
2023-09-14,
2023-09-15,
2023-09-18,
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,-0.4938166968027649
2023-10-23,-0.518916699091586
2023-10-24,-0.4933833567301444
2023-10-25,-0.44557498931885914
2023-10-26,-0.4293666585286336
2023-10-27,-0.39158751805623143
2023-10-30,-0.3780958271026478
2023-10-31,-0.37697498003641766
2023-11-01,-0.4066958141326893
2023-11-02,-0.4656750106811458
2023-11-03,-0.4509667142232298
2023-11-06,-0.4078958257039531
2023-11-07,-0.3938124783833932
2023-11-08,-0.36399168650309593
2023-11-09,-0.29811663945516403
2023-11-10,-0.2354291725158646
2023-11-13,-0.28830004374185353
2023-11-14,-0.36858331680296647
2023-11-15,-0.3065916315714503
2023-11-16,-0.23842913945517097
2023-11-17,-0.2262208620707161
2023-11-20,-0.23374586741129377
2023-11-21,-0.2112916946411166
2023-11-22,-0.1773833719889358
2023-11-24,-0.1471708234151142
2023-11-27,-0.1943624877929532
2023-11-28,-0.26488334019979715
2023-11-29,-0.20328750610350946
2023-11-30,-0.127041657765704
2023-12-01,-0.14402917861940287
2023-12-04,-0.1587750371297171
2023-12-05,-0.17981250762937862
2023-12-06,-0.21428333282469936
2023-12-07,-0.20832913080851276
2023-12-08,-0.2171874745686845
2023-12-11,-0.17930414835611685
2023-12-12,-0.14565826416014951
2023-12-13,-0.20043329238893412
2023-12-14,-0.2867875162760522
2023-12-15,-0.29439170837401935
2023-12-18,-0.29244586944581624
2023-12-19,-0.30545415242513724
2023-12-20,-0.32519997914630255
2023-12-21,-0.3842666625976463
2023-12-22,-0.4083624331156628
2023-12-26,-0.43390413920085297
2023-12-27,-0.3945666885375895
2023-12-28,
2023-12-29,
